period,cpi_all_items,cpi_food,cpi_alcohol_tobacco,cpi_energy,cpi_transport,rpi_all_items
1989,5.2,52.2,51.5,57.8,35.7,7.8
1990,7.0,55.9,55.7,62.4,39.8,9.5
1991,7.5,60.1,58.6,69.4,44.4,5.9
1992,4.2,62.6,59.8,73.1,48.1,3.7
1993,2.5,64.2,60.8,75.1,51.6,1.6
1994,2.0,65.5,61.4,75.3,54.4,2.4
1995,2.6,67.2,63.7,76.9,57.2,3.5
1996,2.4,68.8,65.7,78.7,59.9,2.4
1997,1.8,70.1,65.6,79.2,61.8,3.1
1998,1.6,71.2,66.3,80.9,63.7,3.4
1999,1.3,72.1,66.4,81.7,65.6,1.5
2000,0.8,72.7,66.1,81.7,67.7,3.0
2001,1.2,73.6,68.6,82.0,70.0,1.8
2002,1.3,74.5,69.2,82.1,71.8,1.7
2003,1.4,75.5,70.0,81.6,72.9,2.9
2004,1.3,76.5,70.4,81.2,74.5,3.0
2005,2.1,78.1,71.5,80.6,77.1,2.8
2006,2.3,79.9,73.3,80.9,79.5,3.2
2007,2.3,81.8,76.6,81.6,82.0,4.3
2008,3.6,84.7,83.5,84.2,84.8,4.0
2009,2.2,86.6,88.1,88.0,86.3,-0.5
2010,3.3,89.4,91.1,90.8,87.5,4.6
2011,4.5,93.4,96.0,96.1,89.7,5.2
2012,2.8,96.1,99.1,98.8,92.7,3.2
2013,2.6,98.5,102.9,102.2,95.0,3.0
2014,1.5,100.0,102.7,102.6,97.2,2.4
2015,0.0,100.0,100.0,100.0,100.0,1.0
2016,0.7,100.7,97.6,96.8,101.8,1.8
2017,2.7,103.4,99.8,99.1,102.7,3.6
2018,2.5,105.9,101.8,100.0,103.2,3.3
2019,1.8,107.8,103.2,101.0,103.9,2.6
2020,0.9,108.7,103.9,102.0,105.4,1.5
2021,2.6,111.6,104.2,103.3,107.2,4.1
2022,9.1,121.7,115.5,105.8,110.9,11.6
2023,7.3,130.5,132.3,114.0,117.3,9.7
2024,2.5,133.9,135.8,119.0,125.7,3.6
2025,3.4,138.4,141.5,123.2,132.5,4.1
